tcpdump -i eth0 port 22
20:46:45.990464 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1916168:1916340, ack 1045, win 501, length 172
20:46:45.990529 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1916340:1916512, ack 1045, win 501, length 172
20:46:45.990593 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1916512:1916684, ack 1045, win 501, length 172
20:46:45.990656 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1916684:1916856, ack 1045, win 501, length 172
20:46:45.990720 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1916856:1917028, ack 1045, win 501, length 172
20:46:45.990784 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1917028:1917200, ack 1045, win 501, length 172
20:46:45.990848 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1917200:1917372, ack 1045, win 501, length 172
20:46:45.990918 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1917372:1917544, ack 1045, win 501, length 172
20:46:45.990992 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1917544:1917716, ack 1045, win 501, length 172
20:46:45.991058 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1917716:1917888, ack 1045, win 501, length 172
20:46:45.991127 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1917888:1918060, ack 1045, win 501, length 172
20:46:45.991192 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1918060:1918232, ack 1045, win 501, length 172
20:46:45.991267 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1918232:1918404, ack 1045, win 501, length 172
20:46:45.991346 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1918404:1918576, ack 1045, win 501, length 172
20:46:45.991420 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1918576:1918748, ack 1045, win 501, length 172
20:46:45.991493 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1918748:1918920, ack 1045, win 501, length 172
20:46:45.991573 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1918920:1919092, ack 1045, win 501, length 172
20:46:45.991664 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1919092:1919264, ack 1045, win 501, length 172
20:46:45.991754 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.163.51091: Flags [P.], seq 1919264:1919436, ack 1045, win 501, length 172
20:46:45.994457 IP 198.96.85.163.51091 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1045:1081, ack 1907052, win 510, length 36
