tcpdump -n -i eth0
20:45:38.564958 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1585096:1585260, ack 865, win 501, length 164
20:45:38.565089 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1585260:1585424, ack 865, win 501, length 164
20:45:38.565166 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1585424:1585588, ack 865, win 501, length 164
20:45:38.565236 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1585588:1585752, ack 865, win 501, length 164
20:45:38.565324 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1585752:1585916, ack 865, win 501, length 164
20:45:38.565451 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1585916:1586080, ack 865, win 501, length 164
20:45:38.565560 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1586080:1586244, ack 865, win 501, length 164
20:45:38.565651 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1586244:1586408, ack 865, win 501, length 164
20:45:38.565736 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1586408:1586572, ack 865, win 501, length 164
20:45:38.565823 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1586572:1586736, ack 865, win 501, length 164
20:45:38.565907 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1586736:1586900, ack 865, win 501, length 164
20:45:38.565997 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1586900:1587064, ack 865, win 501, length 164
20:45:38.566081 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1587064:1587228, ack 865, win 501, length 164
20:45:38.566171 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1587228:1587392, ack 865, win 501, length 164
20:45:38.566255 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1587392:1587556, ack 865, win 501, length 164
20:45:38.566340 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1587556:1587720, ack 865, win 501, length 164
20:45:38.566424 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1587720:1587884, ack 865, win 501, length 164
20:45:38.566509 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1587884:1588048, ack 865, win 501, length 164
20:45:38.566592 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1588048:1588212, ack 865, win 501, length 164
20:45:38.566680 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1588212:1588376, ack 865, win 501, length 164
20:45:38.566763 IP 159.203.34.210.22 > 198.96.85.163.51091: Flags [P.], seq 1588376:1588540, ack 865, win 501, length 164
20:45:38.566796 IP 198.96.85.163.51091 > 159.203.34.210.22: Flags [P.], seq 865:901, ack 1571352, win 512, length 36
